Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
Yes,9,No,No,DSL,Yes,Yes,Month-to-month,Yes,72.9,Yes
No,14,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,82.65,No
No,64,Yes,No,DSL,Yes,Yes,Two year,No,47.85,Yes
No,72,Yes,Yes,DSL,Yes,Yes,Two year,No,69.65,No
No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,23.6,No
Yes,40,No,No,DSL,Yes,No,Month-to-month,Yes,74.55,No
No,17,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.7,No
No,11,No,No,DSL,No,No,Month-to-month,Yes,44.05,Yes
No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,73.5,No
Yes,47,Yes,No,DSL,Yes,Yes,One year,No,40.3,No
No,18,Yes,No,DSL,Yes,No,Month-to-month,No,33.6,No
No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,96.25,Yes
Yes,1,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,70.45,No
No,1,No,No,DSL,No,Yes,Month-to-month,No,30.55,No
No,48,Yes,Yes,DSL,No,No,Month-to-month,Yes,44.8,No
Yes,13,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.0,No
No,17,No,No,Fiber optic,No,No,Month-to-month,No,81.5,Yes
Yes,58,No,No,Fiber optic,Yes,Yes,Two year,No,94.35,No
No,7,Yes,No,DSL,Yes,No,One year,No,35.3,No
No,4,No,Yes,DSL,No,No,Month-to-month,No,50.7,Yes
Yes,70,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,106.05,No
Yes,8,No,Yes,DSL,No,Yes,Month-to-month,No,56.3,No
Yes,34,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.65,No
Yes,31,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,98.9,Yes
Yes,37,Yes,Yes,DSL,Yes,No,Month-to-month,No,40.2,Yes
Yes,40,No,No,Fiber optic,Yes,No,Month-to-month,Yes,81.2,No
No,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.45,No
No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.1,No
Yes,10,No,No,DSL,Yes,Yes,Month-to-month,No,55.2,Yes
No,5,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.45,Yes
No,43,No,No,Fiber optic,No,No,Month-to-month,Yes,84.85,No
No,22,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.6,No
No,33,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,79.0,No
Yes,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.7,No
Yes,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.7,Yes
No,54,No,Yes,DSL,No,No,Month-to-month,No,30.4,No
No,1,Yes,No,DSL,Yes,No,Month-to-month,Yes,55.8,Yes
No,63,Yes,Yes,Fiber optic,Yes,Yes,One year,No,104.5,No
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.55,Yes
No,71,Yes,Yes,DSL,No,Yes,Two year,No,73.5,No
Yes,55,No,No,DSL,Yes,Yes,Two year,Yes,55.25,No
Yes,13,No,No,Fiber optic,Yes,No,Month-to-month,Yes,96.65,Yes
No,4,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.85,Yes
Yes,66,Yes,Yes,Fiber optic,Yes,No,Two year,No,109.25,No
No,56,No,Yes,Fiber optic,Yes,No,Month-to-month,No,104.75,No
No,32,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.4,Yes
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,79.4,Yes
No,69,Yes,No,DSL,Yes,Yes,Two year,No,74.1,No
No,26,No,Yes,DSL,No,Yes,Month-to-month,Yes,73.05,No
No,24,Yes,No,Fiber optic,No,No,Month-to-month,Yes,94.6,No
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,70.35,No
No,51,No,Yes,Fiber optic,No,No,One year,Yes,79.6,No
No,11,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,79.5,No
No,18,No,No,Fiber optic,Yes,No,Month-to-month,Yes,90.7,Yes
No,10,No,Yes,Fiber optic,No,No,Month-to-month,Yes,81.0,Yes
No,15,Yes,No,Fiber optic,No,No,Month-to-month,Yes,87.75,No
No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,118.65,No
No,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.8,No
Yes,72,Yes,No,Fiber optic,Yes,No,Two year,No,105.25,No
No,70,No,Yes,DSL,Yes,Yes,Two year,No,57.8,No
No,49,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.0,No
No,28,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,25.7,No
No,72,No,Yes,DSL,Yes,No,Two year,Yes,54.2,Yes
Yes,34,No,No,DSL,Yes,Yes,Month-to-month,Yes,44.85,No
Yes,10,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.95,No
Yes,28,No,No,Fiber optic,No,No,Month-to-month,Yes,81.05,Yes
No,32,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.35,No
No,36,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,Yes
No,37,Yes,Yes,DSL,Yes,Yes,One year,No,67.45,No
No,45,Yes,Yes,Fiber optic,No,No,One year,Yes,100.3,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.95,Yes
No,42,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,105.2,Yes
Yes,6,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,26.35,No
No,61,No,Yes,Fiber optic,No,No,Month-to-month,Yes,82.15,No
Yes,9,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,102.6,No
Yes,59,No,Yes,Fiber optic,Yes,No,One year,Yes,106.15,No
Yes,51,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.95,No
